pitch,funding_amount,industry,city
largest trucking platform,14680000.0,Logistics Tech,Bengaluru
book trucks online,12000000.0,Logistics Tech,Bengaluru
online pharmacy chain,35000000.0,Consumer Internet,Chennai
logistics and shipping,225000000.0,B2B Platform,Bengaluru
news and ebooks mobile app\\xc2\\xa0,6390000.0,Consumer Internet,Bengaluru
healthcare service provider,1000000.0,Healthcare,Delhi
online marketplace for multi-brand beauty cosmetic and wellness products,157200000.0,Consumer Internet,Mumbai
online gaming platform,100000000.0,Consumer Internet,Mumbai
online marketplace for mother and babycare products,4000000.0,Healthcare,Gurugram
ai-based energy optimisation and control provider,32000000.0,Technology,Bengaluru
online marketplace for pharmaceutical products,5500000.0,Consumer Internet,Mumbai
online micro lending marketplace,5000000.0,Fin-Tech,Mumbai
online lending platform,30000000.0,Fin-Tech,Mumbai
personalisation technology firm focusing on the food and beverage industry,400000.0,Food-Tech,Bengaluru
social media and chat entertainment platform,7000000.0,Consumer Internet,Hyderabad
online home rental marketplace,120000.0,Consumer Internet,Gurugram
holy platform offering customised puja packages to individuals and corporates,1000000.0,Consumer Internet,Mumbai
assisted e-commerce platform,35000000.0,Consumer Internet,Bengaluru
online travel aggregator,10000000.0,Consumer Internet,Gurugram
real-time mobile app management,4000000.0,Consumer Internet,Bengaluru
online bike rental marketplace,12200000.0,Consumer Internet,Bengaluru
upi payments app,66000000.0,Consumer Internet,Bengaluru
e-learning platform,3000000.0,Ed-Tech,Bengaluru
consumer financing platform,1000000.0,Fin-Tech,Bengaluru
rural e-commerce platform,4000000.0,Consumer Internet,Chennai
ai based solutions platform,8000000.0,Technology,Bengaluru
ai based solutions platform,114811.0,Consumer Internet,Ahemadabad
online restaurant table reservation platform,5850000.0,Consumer Internet,Gurugram
online loan matchmaking platform,1000000.0,Finance,Bengaluru
online organic juice delivery service,4800000.0,Consumer Internet,Mumbai
applied artificial intelligence and iot focused\\xc2\\xa0platform,6000000.0,Technology,Bengaluru
online indian car rental platform,14270000.0,Consumer Internet,Gurugram
online lending platform,13400000.0,Consumer Internet,Bengaluru
\\xc2\\xa0customer sourcing platform\\xc2\\xa0,4200000.0,Fin-Tech,Bengaluru
local language health content app,5000000.0,Healthcare,Delhi
post-purchase customer engagement platform\\xc2\\xa0,3000000.0,IT,Bengaluru
online food delivery,1000000.0,Consumer Internet,Gurugram
e-commerce fulfilment platform,4000000.0,IT,Pune
online lending platform for salaried professionals,6250000.0,Consumer Internet,Mumbai
online insurance selling platform,27700000.0,Consumer Internet,Gurugram
online platform for risk-assessment services for real estate investments,440000.0,Consumer Internet,Bengaluru
online platform that sells direct plans of mutual funds,1100000.0,Consumer Internet,Bengaluru
online platform that connects brands with freelance sales professionals,437000.0,Consumer Internet,Gurugram
lending platform for micro and small enterprises,5000000.0,Finance,Bengaluru
mobile storefront and commerce platform for sellers,5000000.0,Consumer Internet,Mumbai
online micro lending platform,2500000.0,Consumer Internet,Rourkela
artificial intelligence-based sales acceleration software platform,180000.0,IT,Gurugram
home diagnostics services provider,500000.0,Healthcare,Bengaluru
a doctor-patient engagement platform,175000.0,Healthcare,Jaipur
online lending platform for sme,29000000.0,Finance,Gurugram
online used car marketplace,49700000.0,Consumer Internet,Gurugram
subscription-only news website,1500000.0,Consumer Internet,Bengaluru
online ticketing platform,100000000.0,Consumer Internet,Mumbai
property discovery platform,1500000.0,Consumer Internet,Bengaluru
online consumer lending platform,18000000.0,Consumer Internet,Mumbai
media analytics,280000.0,Technology,Gurugram
nanotechnology company specializing in graphene,436000.0,Technology,Bengaluru
skill learning platform,180000.0,Ed-Tech,Bengaluru
online insurance startup,45000000.0,Consumer Internet,Pune
non-banking financial company,17000000.0,Finance,Mumbai
mobile-first video blogging app,1250000.0,Consumer Internet,Bengaluru
data analytics firm,2500000.0,Technology,Bengaluru
software-as-a-service platform,1100000.0,IT,Bengaluru
unified global investments ecosystem,500000.0,Fin-Tech,Hyderabad
bus aggregation platform,11000000.0,Consumer Internet,Gurugram
health and fitness platform,120000000.0,Consumer Internet,Bengaluru
non-bank lending platform for sme,100000000.0,Fin-Tech,Chennai
health and well being platform,5000000.0,Healthcare,Hyderabad
credit-based lending marketplace for small and medium enterprises,10000000.0,Finance,Gurugram
sales analytics and enablement platform,125000.0,Technology,Bengaluru
non-banking financial company,23000000.0,Finance,Bhubneswar
online marketplace for resellers,11500000.0,Consumer Internet,Bengaluru
online lending platform,21500000.0,Finance,Gurugram
supplychain finance,14800000.0,Finance,Mumbai
fashion e-tailer,10100000.0,E-Commerce,Chennai
hyperlocal delivery platform,3000000.0,Consumer Internet,Bengaluru
an online platform that connects ayurveda doctors with patients,300000.0,Healthcare,Gurugram
mass market mutual fund investment platform,450000.0,Finance,Noida
online home furnishing solutions,3450000.0,Consumer Internet,Bengaluru
cybersecurity specialist,4800000.0,Technology,Mumbai
prosthetics manufacturers,21000000.0,Healthcare,Chandigarh
data analytics (saas),1700000.0,IT,Delhi & Cambridge
online rental marketplace,1100000.0,Consumer Internet,Bengaluru
trade finance firm,15000000.0,Finance,Mumbai
online motorbike and scooter rental platforms,9100000.0,Consumer Internet,Bengaluru
online insurance selling platform,200000000.0,Consumer Internet,Gurugram
digital payment platform for beverage delivery,4000000.0,Consumer Internet,Bengaluru
app-based investment platform,1000000.0,Finance,Gurugram
digital payment platform,8950000.0,Technology,Noida
data driven intelligence solutions platform,19000000.0,Healthcare,Bengaluru
e-commerce logistics platform,4500000.0,Technology,Mumbai
an ai platform offering automated customer service software,1100000.0,Technology,Bengaluru
online education platform,2000000.0,Ed-Tech,Bengaluru
online lending platform,450000.0,Finance,Chennai
aggregator for packaging material,22000000.0,Consumer Internet,Mumbai
saas,2500000.0,IT,Chennai
p2p lending platform,225000.0,Consumer Internet,Mumbai
ai product company for health and life insurane companies,1000000.0,Technology,Mumbai
agri-tech,949000.0,Consumer Internet,Pune
beauty e-tailer,24000000.0,Consumer Internet,Mumbai
doctor-consultation app,4200000.0,Healthcare,Bengaluru
online video creation platform,300000.0,Technology,Bengaluru
micro-delivery grocery startup,7000000.0,Technology,Gurugram
micro lending platform,500000.0,Finance,Bengaluru
p2p lending platform,735000.0,Consumer Internet,Bengaluru
products for shoolgoing children,735000.0,E-Commerce,Bengaluru
housing finance for low-income families,2000000.0,Finance,Kolkata
designer of toys and learning projects for kids,2000000.0,Ed-tech,Delhi
oxygen optimiser manufacturer,293000.0,Clean-tech,Delhi
online insurance platform,12000000.0,Consumer Internet,Mumbai
home healthcare aggregator,200000.0,Healthcare,Mumbai
online insurance platform,1500000.0,Consumer Internet,Gurugram
mobile payments technology platform,8000000.0,Technology,Bengaluru
iot application platform in agriculture,14000000.0,Technology,Bengaluru
lending platform for smes,1300000.0,Consumer Internet,Hyderabad
online fitness discovey platform,2000000.0,Consumer Internet,Mumbai
social media anlaytics platform,307600.0,Technology,Coimbatore
online loan matchmaking platform,1300000.0,Consumer Internet,Bengaluru
loans and services to affordable private schools in india,55000000.0,Finance,Bengaluru
online education platform,150000.0,Ed-Tech,Hyderabad
interactive online tutoring platform,10000000.0,Ed-Tech,Bangalore
digital financial services platform,2800000.0,Fiinance,Chennai
fashion accessories etailer,1000000.0,Consumer Internet,Mumbai
mobile-based education network,46140.0,Ed-Tech,Delhi
online travel marketplace,12000000.0,Consumer Internet,Gurugram
platform to discover healthcare financing options,1000000.0,Healthcare,Delhi
online lending platform,4600000.0,Finance,Gurugram
online lending platform,2000000.0,Finance,Mumbai
online platform for luxury hotel stay for business travelers,500000.0,Consumer Internet,Delhi
online insurance aggregator,22000000.0,Consumer Internet,Mumbai
ai based expense management platform,1100000.0,Technology,Bengaluru
mobile balance checking app,23000000.0,Technology,Gurugram
digitized health-tech solutions for practitioners,1900000.0,Healthcare,Mumbai
beauty e-tailer,11000000.0,Consumer Internet,Mumbai
online platform providing micro loans for air travel,150000.0,Finance,Mumbai
online lending platform,22000000.0,Finance,Bengaluru
online travel marketplace,246000.0,Consumer Internet,Delhi
women focussed digital media platform,5500000.0,Technology,Delhi
online pharmacy store,10000000.0,Consumer Internet,Gurugram
online stock broker,7500000.0,Consumer Internet,Mumbai
b2c online loans marketplace,978000.0,Finance,Gurgaon
online scholarship portal,3000000.0,Consumer Internet,Noida
online furniture store,12000000.0,E-Commerce,Bengaluru
online financial planning,250000.0,Consumer Internet,Bengaluru
agri-tech,1000000.0,Technology,Indore
therapeutics,2100000.0,Healthcare,Mumbai
"genetic screening, dna diagnostics labs & research centers",10000000.0,Healthcare,Bengaluru
online lending,6000000.0,Consumer Internet,Jaipur
cloud based online hotel management software,5000000.0,Technology,Noida
health service aggregator platform,1100000.0,Consumer Internet,Pune
"creative design, brand, media and technology platform solutions",9700000.0,Technology,Chennai
online insurance aggregator,7600000.0,Consumer Internet,Mumbai
online furniture shopping store,38400000.0,Consumer Internet,Mumbai
hyperlocal discovery,1000000.0,Consumer Internet,Gurugram
healthcare aggregator,1000000.0,Consumer Internet,Mumbai
digital payment platform,82000000.0,Technology,Mumbai
online lending platform,17200000.0,Consumer Internet,Bengaluru
online grocery shop,62000000.0,Consumer Internet,Gurugram
ready to cook food solution,1310000.0,Consumer Internet,Mumbai
technology enabled equitable healthcare for india,500000.0,Healthcare,Udaipur
online raw meat e-tailer,3000000.0,Food & Beverages,Gurugram
customer success software for b2b saas,1000000.0,Technology,Gurugram
subscription billing & recurring payments software,18000000.0,Technology,Chennai
online loan platform,768000.0,Consumer Internet,Noida
voice-based assistant platform,1240000.0,Technology,Bengaluru
online loan platform,1000000.0,Consumer Internet,Delhi
fleet management and asset monitoring platform,250000.0,Technology,Delhi
micro lending company,2000000.0,Finance,Bengaluru
news portal,535000.0,Media,Delhi
professional car drivers hiring app,3000000.0,Technology,Bengaluru
online grocery & food store,300000000.0,Consumer Internet,Bengaluru
food ordering and restaurant discovery,200000000.0,Food and Beverages,Gurugram
e-publishing,4300000.0,Publishing,Bengaluru
super-specialty hospital,21000000.0,Healthcare,Faridabad
online platform for higher education services,2000000.0,Consumer Internet,Gurugram
preventive health checkup,3100000.0,Healthcare,Bengaluru
online food delivery,100000000.0,Food and Beverages,Bengaluru
"online portal for diet,fitness and beauty",100000000.0,Healthcare,Pune
enterprise contract management platform,50000000.0,Consumer Internet,Pune
mobile weight loss coach,12000000.0,Healthcare,Bengaluru
online gold loan,6830000.0,Consumer Internet,Bengaluru
online lending platform,87000000.0,Finance,Bengaluru
online selling,935089.0,E-Commerce,Gurugram
online food delivery,311200.0,Food and Beverages,Mumbai
individualised progressive learning program,13500000.0,Ed-Tech,Bengaluru
online education platform,3000000.0,Ed-Tech,Chennai
online education platform,100000.0,Ed-Tech,Mumbai
integrated kids engagement company,500000.0,Ed-Tech,Mumbai
mobile payment platform,5000000.0,Technology,Mumbai
online pet care products,148434.0,Consumer Internet,Gurugram
online retailing,6230000.0,E-Commerce,Ahemadabad
expense management,250000.0,Finance,Bengaluru
fin-tech,150000.0,Finance,Mumbai
online lending,3800000.0,Finance,Gurugram
agri-tech,500000.0,Agriculture,Mumbai
b2b marketplace,50000000.0,E-Commerce,Bengaluru
saas,20000000.0,IT,Bengaluru
analytics,2100000.0,Healthcare,Gurugram
education,772500.0,Ed-Tech,Delhi
robotic inspectionstartup,1040000.0,Technology,Chennai
ai platform for hospitality industry,250000.0,Technology,Mumbai
online music streaming,115000000.0,Technology,Gurugram
saas,1400000.0,IT,Bengaluru
online lending,15700000.0,Finance,Pune
online lending,4700000.0,Finance,Ahmedabad
digital entertainment for children,2500000.0,Entertainment,Mumbai
personal assistant,1930000.0,Technology,Bengaluru
retail,18840000.0,E-commerce,Delhi
agricultural loan,23500000.0,Finance,Chennai
medical devices,36230000.0,Technology,Surat
algorithmic trading,80000.0,Technology,Gurgaon
payment gateway,20000000.0,Technology,Bengaluru
algorithmic trading,354600.0,Technology,Bengaluru
venture capital,25000000.0,Finance,Bengaluru
it,20000000.0,Technology,New Delhi
education,1000000.0,Technology,Pune
social,18200000.0,Technology,Bengaluru
it,400000.0,Technology,Chennai
food and beverages,2500000.0,Consumer Internet,Bangalore
alternative lending,4000000.0,Finance,Chennai
education,3200000.0,Technology,Bengaluru
online grocery,3000000.0,E-commerce,Gurugram
digital lending,47000000.0,Finance,Mumbai
coaching services,8600000.0,Education,Mumbai
online lending,6240000.0,Finance,Gurugram
education,1000000.0,Technology,Mumbai
hemostatic dressing solutions,7400000.0,Healthcare,Bengaluru
technology,1500000.0,Healthcare,Hyderabad
online services,1000000.0,Consumer internet,Mumbai
hygiene,1000000.0,Healthcare,Gurugram
browser testing,50000000.0,Technology,Mumbai
virtual reality,500000.0,Technology,Bengaluru
mobile payment platform,7600000.0,Technology,Mumbai
fitness,10000000.0,Healthcare,Bengaluru
education solutions,4400000.0,Technology,Bengaluru
daily task management mobile app,12300000.0,Technology,Bangalore
residential project,23000000.0,Real Estate,Mumbai
mobile learning management platform,1000000.0,Technology,Goa
bicycle sharing platform,500000.0,Technology,Gurgaon
off-grid solar products platform,60000000.0,Technology,Mumbai
child learning & development platform,7000000.0,Technology,Chennai
mobile point of sale services provider,10000000.0,Technology,Mumbai
home decor and online fashion portal,3100000.0,E-Commerce,Mumbai
super speciality hospitals,750000.0,Healthcare,Gurgaon
"""women\\'s fashion clothing online platform""",2300000.0,Ecommerce,Chennai
mobile news curation app,5000000.0,Technology,Noida
online platform selling indian tea globally,1500000.0,E-Commerce,Delhi
educational platform to learn mathematics,50000.0,Technology,Mumbai
assisting visually impaired to learn through braille,50000.0,Technology,Bengaluru
furniture rental platform,1200000.0,Technology,Bengaluru
hotel aggregator platform,1800000.0,Technology,Delhi
adaptive fraud intelligence platform,17500000.0,Technology,Hyderabad
fashion and lifestyle coupon platform,233000.0,E-Commerce,Gurgaon
gamification platform to train sales people,27000000.0,Technology,Pune
mobile games development firm,27000000.0,Technology,Mumbai
mobile application for doctor consultation,7200000.0,Technology,Bengaluru
fresh indian tea selling platform across 112 countries,7000000.0,E-Commerce,Bengaluru
hyperlocal video information sharing platform,6000000.0,Technology,Bengaluru
mobile app for network of doctors,250000.0,Technology,Gurgaon
online furniture marketplace,10000000.0,E-Commerce,Bengaluru
beauty products online marketplace,537000.0,E-Commerce,Mumbai
online micro-lending platform,2700000.0,E-Commerce,Delhi
online courses and mentoring from experts,9500000.0,Technology,Bengaluru
online poker platform,1500000.0,Technology,Delhi
vernacular and video content platform,1000000.0,Technology,Bengaluru
micro finance institution providing small ticket unsecured loans to women,19500000.0,Finance,Hyderabad
regional operating system for smartphones,4000000.0,Technology,Mumbai
ecommerce enabler platform,150000.0,E-Commerce,Bengaluru
online spects platform for men and women,10000000.0,E-Commerce,Chennai
realty tech startup solving real life interior designing problems,3800000.0,Technology,Hyderabad
business & sme loans provider,570000.0,Finance,New Delhi
online tutorial marketplace,1000000.0,Technology,Bangalore
vr based spiritual platform,500000.0,Technology,Bangalore
real time data analytics & reporting,1000000.0,Technology,Bangalore
doctor patient communication platform,5000000.0,Technology,Mumbai
wearable tech and internet of things platform,5000000.0,Technology,Bangalore
distance education learning platform,7600000.0,Technology,Bangalore
mutual fund investment app,3000000.0,Finance,Bangalore
online platform for agricultural products,3000000.0,eCommerce,Mumbai
iot based tech startup,3600000.0,Technology,Bangalore
enrolment management platform,872000.0,Technology,Delhi
big data based analytics platform,25000000.0,Technology,Bangalore
celebrity fashion accessories and merchandise,15000000.0,ECommerce,Mumbai
ai based fintech platform,8250000.0,Technology,Bangalore
banking software license platform,900000.0,Technology,Bangalore
wifi analytics platform,3000000.0,Technology,Delhi
storytelling platform,200000.0,Inspiration,Hyderabad
self riding bike rental program,692000.0,Technology,Mumbai
bike and taxi pooling online platform,329230.0,Technology,Hyderabad
big data analytics platform,2700000.0,Technology,Mumbai
managed cloud environment solutions,400000.0,Technology,Mumbai
ai based pharmacy drugs insights platform,250000.0,Technology,Mumbai
healthcare facilities at doorstep,26000000.0,Healthcare,Bangalore
tech based investor firm,200000000.0,Finance,Mumbai
venture capitalist,10000000.0,Finance,Bangalore
iot and saas based transportation platform,250000.0,Technology,Goa
diversified financial,270000000.0,Finance,Mumbai
identity management platform,39000.0,Technology,Mumbai
virtual reality based gaming platform,3800000.0,Technology,Mumbai
designer-led consumer products,13000000.0,Lifestyle,Bangalore
online truck aggregator platform,1500000.0,Technology,Chennai
health and fitness based mobile app,1350000.0,Healthcare,Goa
student accommodation platform,2000000.0,Technology,Delhi
app based cab hailing services,110000000.0,Consumer Internet,Bangalore
education collaboration platform,306000.0,Consumer Internet,Bangalore
digital wallet,38700000.0,Consumer Internet,Bangalore
local recommendations and discoveries platform,1000000.0,Consumer Internet,New Delhi
rooftop solar platform,450000.0,Technology,Mumbai
ecommerce portal for used goods,9200000.0,ECommerce,Bangalore
mobile repair and refurbishment platform,3100000.0,ECommerce,New Delhi
fresh produce scm company,8000000.0,Technology,Bangalore
self drive car and bike rental platform,10000000.0,Consumer Internet,Bangalore
student micro-financing platform,2000000.0,Consumer Internet,Bangalore
home interior designing seller,2700000.0,eCommerce,Bangalore
education technology platform,336000.0,Technology,New Delhi
ai-powered deep learning solutions,1400000.0,Technology,Gurgaon
online restaurant reservation platform,4500000.0,Consumer Internet,Gurgaon
online reseller network,3100000.0,ECommerce,Bangalore
medical transportation services,1100000.0,Logistics,Hyderabad
"education network for institutions, teachers & students",235000.0,Technology,Hyderabad
online insurance policy aggregator,77000000.0,Consumer Internet,Gurgaon
home maintenance services platform,250000.0,Consumer Internet,Bangalore
online chai ordering platform,2000000.0,eCommerce,Gurgaon
micro-lending platform,8000000.0,Consumer Internet,Bangalore
online insurance aggregator,9200000.0,Consumer Internet,New Delhi
food ordering portal,7000000.0,Consumer Internet,Bangalore
online financial marketplace,7000000.0,Consumer Internet,Chennai
b2b logistics provider,7700000.0,Logistics,Bangalore
online peer-to-peer lending platform,500000.0,Consumer Internet,Mumbai
mobile based learning app,7000000.0,Consumer Internet,Mumbai
cold pressed juice maker,6000000.0,Food & Beverage,Mumbai
app-only lending platform,3100000.0,Consumer Internet,Mumbai
machine learning based parking discovery,118000.0,Consumer Internet,Kolkata
herbal energy shot maker,500000.0,Food & Beverage,Mumbai
sme lending platform,3000000.0,Consumer Internet,New Delhi
online learning platform,722000.0,Consumer Internet,Bangalore
contract automation,550000.0,Consumer Internet,Gurgaon
online grocery portal,5000000.0,eCommerce,Bangalore
b2b finance & fulfilment network,3800000.0,Technology,Gurgaon
payments platform for marketplaces and fintechs,120000.0,Technology,New Delhi
app based cab hailing services,7700000.0,Consumer Internet,Bangalore
agriculture technology,2000000.0,Food & Beverage,Coimbatore
online pharmacy,14000000.0,ECommerce,Chennai
equity stock exchange,32000000.0,Finance,Mumbai
online b2b store for office supplies,1000000.0,eCommece,Chennai
online doctor discovery platform,1500000.0,Consumer Internet,Bangalore
online photography platform,1300000.0,Consumer Internet,Mumbai
application performance acceleration,5600000.0,Technology,Pune
online lending platform,1500000.0,Consumer Internet,Bangalore
edutech platform,600000.0,Technology,Gurgaon
online lending platform,10750000.0,Consumer Internet,Ahmedabad
online travel booking platform,10000000.0,Consumer Internet,New Delhi
medical diagnostic solutions,6000000.0,Healthcare,Bangalore
buying club for small businesses,26000000.0,eCommerce,Gurgaon
online credit scoring platform,5000000.0,Consumer Internet,Mumbai
branded budget hotels marketplace,250000000.0,Consumer Internet,Gurgaon
online unsecured lending platform,780000.0,Consumer Internet,Pune
ecommerce portal for senior citizens,1000000.0,eCommerce,Pune
micro lending platform,6900000.0,Consumer Internet,New Delhi
logistics solutions provider,30000000.0,Logistics,New Delhi
healthcare services aggregator,6200000.0,Consumer Internet,Hyderabad
healthcare services portal,100000.0,Consumer Internet,New Delhi
imaging technology for armed forces,17000000.0,Technology,Bangalore
smart parking enabler,3000000.0,Consumer Internet,New Delhi
women focussed customer-to-customer reseller network,2000000.0,Consumer Internet,Bangalore
udget hotel marketplace,10000000.0,Consumer Internet,Gurgaon
online learning platform,11500000.0,Consumer Internet,Mumbai
telecom & iot platform,780000.0,Technology,Chennai
virtual reality gaming and entertainment platform,44000000.0,Technology,Mumbai
bike rental platform,120000.0,Consumer Portal,Bangalore
pregnancy & baby care product etailer,1000000.0,eCommerce,Gurgaon
integrated receivables software solutions,50000000.0,Technology,Hyderabad
financial services firm,6000000.0,Finance,Gaya
home furnishing & building material marketplace,1000000.0,eCommerce,Bangalore
online travel agency,15400000.0,eCommerce,Gurgaon
sme marketing management solution,6000000.0,Technology,Bangalore
bike aggregator mobile app,422000.0,Consumer Internet,Bangalore
sports & sport related equipment portal,150000.0,Consumer Internet,Mumbai
geospatial technology-based saas solutions,1600000.0,Technology,Mumbai
car repair and servicing platform,1000000.0,Consumer Internet,Bangalore
local language health information portal,300000.0,Consumer Internet,New Delhi
defense tech & aerospace startup,1000000.0,Technology,Bangalore
predictive care platform,1300000.0,Technology,Bangalore
diy ecommerce platform,500000.0,Consumer Internet,Mumbai
healthcare service aggregator,850000.0,Consumer Internet,Hyderabad
on-demand logistics service provider,300000.0,Logistics,Mumbai
